"Status","Url","Files"
"ERR","https://www.deepdivegear.com/Blog/Attaching-Sidemount-Cylinders-Bolt-Snaps","氣瓶懸掛系統與硬體配置.md"
"503","https://decodoppler.wordpress.com/2015/02/03/625/","側掛潛水適合族群與生理考量.md; 鋼瓶與鋁瓶的浮力與配重管理.md; 氣閥演練 (Valve Drills) 標準步驟.md; 側掛常見錯誤與新手FAQ.md"
"503","https://www.sidemountbook.com","流線型與水中平衡哲學.md; 側掛背帶與浮力補償裝置 (BCD).md; 氣瓶懸掛系統與硬體配置.md; 單氣瓶側掛配置與平衡技巧.md; 氣瓶水中動態管理技巧.md; 水中浮力與水平配平 (Trim).md; BCD與浮力失效緊急應變方案.md; 側掛調節器故障應變與漏氣排除.md; 氣源耗盡 (OOG) 與長管分享程序.md; 多氣瓶與減壓瓶掛載配置 (Technical Sidemount).md; 無掛載與單側掛 (No-mount & Stage Dropping) 技巧.md; 頂部封閉環境下的側掛線路與操作.md; 側掛裝備日常保養與維護指引.md"
"403","https://www.scubaforge.com/scuba-diving-masks/low-volume-mask-advantages/","側掛蛙鞋與面鏡選擇.md"
"503","https://www.thediveforum.com/forum/technical-diving/technical-diving-general-discussions/27504-dpv-scooter-hints-and-tips","DPV 水下推進器與側掛整合.md"
"403","https://www.scuba.com/blog/underwater-finning-kicking-techniques-scuba-diving/","側掛動力推進技巧 (Propulsion).md"
"ERR","https://www.padi.com/courses/sidemount-diver","側掛潛水系統與證照課程對比.md"
"503","https://toddy-style.com/5-attaching-scuba-cylinders/?lang=en","氣瓶懸掛系統與硬體配置.md; 氣瓶水中動態管理技巧.md"
"404","https://umaine.edu/scientificdiving/wp-content/uploads/sites/335/2014/10/Diving-Fizzyology-R.-Pyle-IANTD.pdf","呼吸率 (SAC & RMV) 計算指引.md"
"503","https://razorgosidemount.eu/en/product/manual-for-the-razor-4-side-mount-system/","Razor 側掛系統調整與配置.md"
"503","https://sidemountbook.com/articles/sidemount-gas-management/","側掛與背掛系統深度對比.md; 自給自足與獨立性精神.md; 側掛氣體切換標準程序.md; 氣體計劃與安全保留原則.md"
"429","https://apps.dtic.mil/sti/pdfs/ADA561618.pdf","上升速率與安全停留標準.md"
"503","https://gue.tv/programs/gue-edge","潛水前檢查清單 (Pre-dive Checklists).md"
"503","https://thetheoreticaldiver.org/wordpress/index.php/2019/06/16/setting-gradient-factors-based-on-published-probability-of-dcs/","減壓規劃軟體與梯度因子.md"
"ERR","https://www.thinkingdiver.com/rock-bottom-gas-planning-recreational-diving/","氣體計劃與安全保留原則.md"
"ERR","https://razorgosidemount.com/elearning/side-mount-open-water-diver/","單氣瓶側掛配置與平衡技巧.md"
